CandidateID,RequisitionID,Department,JobTitle,JobLevel,ApplicationDate,SourceChannel,HighestStageReached,Hired,EmployeeID,ApplicationToHireDays
CAND00081,REQ00013,CUSTOMER SUCCESS,Support Associate,Entry-Level,04-01-25,LinkedIn,Phone Screen,No,,
CAND00082,REQ00013,Customer Success,Support Associate,Entry-Level,22-12-24,Job Board,Applied,No,,
CAND00083,REQ00013,Customer Success,Support Associate,Entry-Level,28-12-24,Company Careers Site,Withdrew,No,,
CAND00084,REQ00014,Customer Success,Support Associate,Entry-Level,15-07-24,,Hired,Yes,EMP00014,31
CAND00085,REQ00014,Customer Success,Support Associate,Entry-Level,15-07-24,University Recruiting,Onsite Interview,No,,
CAND00086,REQ00014,Customer Success,Support Associate,Entry-Level,23-07-24,Job Board,Onsite Interview,No,,
CAND00087,REQ00014,Customer Success,Support Associate,Entry-Level,09-07-24,Company Careers Site,Applied,No,,
CAND00088,REQ00015,Finance,Senior Financial Analyst,Senior,24-02-26,Referral,Hired,Yes,EMP00015,23
CAND00089,REQ00015,Finance,Senior Financial Analyst,Senior,14-02-26,University Recruiting,Applied,No,,
CAND00090,REQ00015,Finance,Senior Financial Analyst,Senior,04-03-26,Job Board,Applied,No,,
CAND00091,REQ00015,Finance,Senior Financial Analyst,Senior,18-02-26,Job Board,Withdrew,No,,
CAND00092,REQ00015,Finance,Senior Financial Analyst,Senior,15-02-26,Referral,Skills Assessment,No,,
CAND00093,REQ00015,Finance,Senior Financial Analyst,Senior,15-02-26,LinkedIn,Skills Assessment,No,,
CAND00094,REQ00015,Finance,Senior Financial Analyst,Senior,24-02-26,Company Careers Site,Applied,No,,
CAND00095,REQ00015,Finance,Senior Financial Analyst,Senior,02-03-26,Referral,Offer Extended,No,,
CAND00096,REQ00015,Finance,Senior Financial Analyst,Senior,27-02-26,Referral,Offer Extended,No,,
CAND00097,REQ00016,Sales,Sales Development Rep,Entry-Level,05-10-24,Referral,Hired,Yes,EMP00016,33
CAND00098,REQ00016,Sales,Sales Development Rep,Entry-Level,29-09-24,LinkedIn,Skills Assessment,No,,
CAND00099,REQ00016,Sales,Sales Development Rep,Entry-Level,29-09-24,Company Careers Site,Phone Screen,No,,
CAND00100,REQ00016,Sales,Sales Development Rep,Entry-Level,13-10-24,Job Board,Skills Assessment,No,,
CAND00101,REQ00016,Sales,Sales Development Rep,Entry-Level,03-10-24,Referral,Skills Assessment,No,,
CAND00102,REQ00016,Sales,Sales Development Rep,Entry-Level,07-10-24,LinkedIn,Phone Screen,No,,
CAND00103,REQ00016,Sales,Sales Development Rep,Entry-Level,26-09-24,University Recruiting,Onsite Interview,No,,
CAND00104,REQ00017,Engineering,Software Engineer I,Entry-Level,20-07-24,LinkedIn,Hired,Yes,EMP00017,30
CAND00105,REQ00017,Engineering,Software Engineer I,Entry-Level,16-07-24,LinkedIn,Phone Screen,No,,
CAND00106,REQ00017,Engineering,Software Engineer I,Entry-Level,24-07-24,Job Board,Skills Assessment,No,,
CAND00107,REQ00018,Engineering,Senior Software Engineer,Senior,21-06-25,Recruiting Agency,Hired,Yes,EMP00018,7
CAND00108,REQ00018,ENGINEERING,Senior Software Engineer,Senior,28-06-25,LinkedIn,Onsite Interview,No,,
CAND00109,REQ00018,Engineering,Senior Software Engineer,Senior,14-06-25,Referral,Skills Assessment,No,,
CAND00110,REQ00018,Engineering,Senior Software Engineer,Senior,14-06-25,Company Careers Site,Hired,No,,
CAND00111,REQ00018,Engineering,Senior Software Engineer,Senior,30-06-25,,Onsite Interview,No,,
CAND00112,REQ00018,Engineering,Senior Software Engineer,Senior,21-06-25,LinkedIn,Skills Assessment,No,,
CAND00113,REQ00018,Engineering,Senior Software Engineer,Senior,19-06-25,LinkedIn,Withdrew,No,,
CAND00114,REQ00018,ENGINEERING,Senior Software Engineer,Senior,29-06-25,,Withdrew,No,,
CAND00115,REQ00019,Design,Product Designer,Mid-Level,07-12-23,University Recruiting,Hired,Yes,EMP00019,43
CAND00116,REQ00019,Design,Product Designer,Mid-Level,04-12-23,LinkedIn,Phone Screen,No,,
CAND00117,REQ00019,DESIGN,Product Designer,Mid-Level,02-12-23,Job Board,Withdrew,No,,
CAND00118,REQ00019,Design,Product Designer,Mid-Level,30-11-23,Referral,Withdrew,No,,
CAND00119,REQ00019,Design,Product Designer,Mid-Level,12-12-23,LinkedIn,Applied,No,,
CAND00120,REQ00020,Engineering,Software Engineer I,Entry-Level,26-01-26,Job Board,Hired,Yes,EMP00020,16
CAND00121,REQ00020,Engineering,Software Engineer I,Entry-Level,22-01-26,Recruiting Agency,Skills Assessment,No,,
CAND00122,REQ00020,Engineering,Software Engineer I,Entry-Level,28-01-26,Recruiting Agency,Phone Screen,No,,
CAND00123,REQ00021,Customer Success,Customer Success Manager,Mid-Level,31-05-23,Company Careers Site,Hired,Yes,EMP00021,26
CAND00124,REQ00021,Customer Success,Customer Success Manager,Mid-Level,30-05-23,LinkedIn,Applied,No,,
CAND00125,REQ00021,Customer Success,Customer Success Manager,Mid-Level,04-06-23,Company Careers Site,Withdrew,No,,
CAND00126,REQ00021,Customer Success,Customer Success Manager,Mid-Level,05-06-23,Company Careers Site,Phone Screen,No,,
CAND00127,REQ00021,Customer Success,Customer Success Manager,Mid-Level,24-05-23,Job Board,Withdrew,No,,
CAND00128,REQ00021,Customer Success,Customer Success Manager,Mid-Level,26-05-23,Recruiting Agency,Phone Screen,No,,
CAND00129,REQ00021,Customer Success,Customer Success Manager,Mid-Level,02-06-23,Job Board,Withdrew,No,,
CAND00130,REQ00021,Customer Success,Customer Success Manager,Mid-Level,21-05-23,Job Board,Offer Extended,No,,
CAND00131,REQ00021,Customer Success,Customer Success Manager,Mid-Level,08-06-23,,Onsite Interview,No,,
CAND00132,REQ00022,Product,Senior Product Manager,Senior,26-05-26,LinkedIn,Hired,Yes,EMP00022,40
CAND00133,REQ00022,Product,Senior Product Manager,Senior,04-06-26,University Recruiting,Withdrew,No,,
CAND00134,REQ00022,Product,Senior Product Manager,Senior,01-06-26,,Applied,No,,
CAND00135,REQ00022,Product,Senior Product Manager,Senior,28-05-26,Job Board,Applied,No,,
CAND00136,REQ00022,Product,Senior Product Manager,Senior,20-05-26,Company Careers Site,Offer Extended,No,,
CAND00137,REQ00022,Product,Senior Product Manager,Senior,27-05-26,Job Board,Applied,No,,
CAND00138,REQ00022,Product,Senior Product Manager,Senior,01-06-26,LinkedIn,Onsite Interview,No,,
CAND00139,REQ00022,Product,Senior Product Manager,Senior,03-06-26,,Skills Assessment,No,,
CAND00140,REQ00022,Product,Senior Product Manager,Senior,16-05-26,Job Board,Skills Assessment,No,,
CAND00141,REQ00023,Finance,Financial Analyst II,Mid-Level,17-12-25,Referral,Hired,Yes,EMP00023,19
CAND00142,REQ00023,Finance,Financial Analyst II,Mid-Level,09-12-25,Job Board,Withdrew,No,,
CAND00143,REQ00023,Finance,Financial Analyst II,Mid-Level,15-12-25,Company Careers Site,Applied,No,,
CAND00144,REQ00023,Finance,Financial Analyst II,Mid-Level,21-12-25,LinkedIn,Withdrew,No,,
CAND00145,REQ00024,Finance,Financial Analyst II,Mid-Level,11-03-24,LinkedIn,Hired,Yes,EMP00024,42
CAND00146,REQ00024,Finance,Financial Analyst II,Mid-Level,11-03-24,Recruiting Agency,Applied,No,,
CAND00147,REQ00024,Finance,Financial Analyst II,Mid-Level,16-03-24,University Recruiting,Skills Assessment,No,,
CAND00148,REQ00024,Finance,Financial Analyst II,Mid-Level,19-03-24,Referral,Skills Assessment,No,,
CAND00149,REQ00024,Finance,Financial Analyst II,Mid-Level,01-03-24,Company Careers Site,Skills Assessment,No,,
CAND00150,REQ00025,Sales,Sales Development Rep,Entry-Level,30-07-22,Referral,Hired,Yes,EMP00025,40
CAND00151,REQ00025,Sales,Sales Development Rep,Entry-Level,01-08-22,University Recruiting,Applied,No,,
CAND00152,REQ00025,Sales,Sales Development Rep,Entry-Level,08-08-22,LinkedIn,Applied,No,,
CAND00153,REQ00025,Sales,Sales Development Rep,Entry-Level,03-08-22,LinkedIn,Phone Screen,No,,
CAND00154,REQ00025,Sales,Sales Development Rep,Entry-Level,26-07-22,Job Board,Withdrew,No,,
CAND00155,REQ00025,Sales,Sales Development Rep,Entry-Level,29-07-22,LinkedIn,Withdrew,No,,
CAND00156,REQ00025,SALES,Sales Development Rep,Entry-Level,06-08-22,LinkedIn,Onsite Interview,No,,
CAND00157,REQ00025,Sales,Sales Development Rep,Entry-Level,27-07-22,LinkedIn,Applied,No,,
CAND00158,REQ00025,Sales,Sales Development Rep,Entry-Level,07-08-22,Company Careers Site,Applied,No,,
CAND00159,REQ00026,Finance,Senior Financial Analyst,Senior,26-01-26,University Recruiting,Hired,Yes,EMP00026,43
CAND00160,REQ00026,Finance,Senior Financial Analyst,Senior,28-01-26,Recruiting Agency,Withdrew,No,,
CAND00161,REQ00026,Finance,Senior Financial Analyst,Senior,16-01-26,,Phone Screen,No,,
CAND00162,REQ00026,Finance,Senior Financial Analyst,Senior,04-02-26,Referral,Skills Assessment,No,,
CAND00163,REQ00026,Finance,Senior Financial Analyst,Senior,22-01-26,Recruiting Agency,Hired,No,,
CAND00164,REQ00026,Finance,Senior Financial Analyst,Senior,02-02-26,Recruiting Agency,Applied,No,,
CAND00165,REQ00026,Finance,Senior Financial Analyst,Senior,01-02-26,LinkedIn,Applied,No,,
CAND00166,REQ00026,Finance,Senior Financial Analyst,Senior,27-01-26,Company Careers Site,Applied,No,,
CAND00167,REQ00027,Customer Success,Customer Success Manager,Mid-Level,16-09-25,LinkedIn,Hired,Yes,EMP00027,51
CAND00168,REQ00027,Customer Success,Customer Success Manager,Mid-Level,13-09-25,Company Careers Site,Offer Extended,No,,
CAND00169,REQ00027,Customer Success,Customer Success Manager,Mid-Level,25-09-25,Job Board,Offer Extended,No,,
CAND00170,REQ00027,Customer Success,Customer Success Manager,Mid-Level,17-09-25,Referral,Applied,No,,
CAND00171,REQ00027,Customer Success,Customer Success Manager,Mid-Level,12-09-25,LinkedIn,Offer Extended,No,,
CAND00172,REQ00027,Customer Success,Customer Success Manager,Mid-Level,13-09-25,Company Careers Site,Withdrew,No,,
CAND00173,REQ00028,Sales,Senior Account Executive,Senior,25-11-25,Referral,Hired,Yes,EMP00028,20
CAND00174,REQ00028,Sales,Senior Account Executive,Senior,19-11-25,Referral,Skills Assessment,No,,
CAND00175,REQ00028,Sales,Senior Account Executive,Senior,15-11-25,University Recruiting,Skills Assessment,No,,
CAND00176,REQ00028,Sales,Senior Account Executive,Senior,16-11-25,LinkedIn,Onsite Interview,No,,
CAND00177,REQ00028,Sales,Senior Account Executive,Senior,23-11-25,LinkedIn,Onsite Interview,No,,
CAND00178,REQ00028,Sales,Senior Account Executive,Senior,18-11-25,Referral,Applied,No,,
CAND00179,REQ00028,Sales,Senior Account Executive,Senior,17-11-25,Referral,Applied,No,,
CAND00180,REQ00029,Engineering,Engineering Manager,Manager,02-12-25,Referral,Hired,Yes,EMP00029,45
CAND00181,REQ00029,Engineering,Engineering Manager,Manager,29-11-25,Recruiting Agency,Skills Assessment,No,,
CAND00182,REQ00029,Engineering,Engineering Manager,Manager,29-11-25,Company Careers Site,Offer Extended,No,,
CAND00183,REQ00029,Engineering,Engineering Manager,Manager,28-11-25,Company Careers Site,Offer Extended,No,,
CAND00184,REQ00029,Engineering,Engineering Manager,Manager,06-12-25,LinkedIn,Applied,No,,
CAND00185,REQ00029,Engineering,Engineering Manager,Manager,29-11-25,Job Board,Skills Assessment,No,,
CAND00186,REQ00029,Engineering,Engineering Manager,Manager,28-11-25,LinkedIn,Applied,No,,
CAND00187,REQ00030,Sales,Senior Account Executive,Senior,12-06-23,LinkedIn,Hired,Yes,EMP00030,16
CAND00188,REQ00030,Sales,Senior Account Executive,Senior,04-06-23,Company Careers Site,Phone Screen,No,,
CAND00189,REQ00030,Sales,Senior Account Executive,Senior,13-06-23,Job Board,Skills Assessment,No,,
CAND00190,REQ00030,Sales,Senior Account Executive,Senior,15-06-23,University Recruiting,Hired,No,,
CAND00191,REQ00030,SALES,Senior Account Executive,Senior,13-06-23,Company Careers Site,Withdrew,No,,
CAND00192,REQ00030,Sales,Senior Account Executive,Senior,09-06-23,Referral,Phone Screen,No,,
CAND00193,REQ00030,Sales,Senior Account Executive,Senior,10-06-23,Referral,Applied,No,,
CAND00194,REQ00030,Sales,Senior Account Executive,Senior,07-06-23,Job Board,Phone Screen,No,,
CAND00195,REQ00030,Sales,Senior Account Executive,Senior,07-06-23,Job Board,Phone Screen,No,,
CAND00196,REQ00031,Sales,Account Executive,Mid-Level,28-10-24,Referral,Hired,Yes,EMP00031,20
CAND00197,REQ00031,Sales,Account Executive,Mid-Level,02-11-24,Company Careers Site,Skills Assessment,No,,
CAND00198,REQ00031,Sales,Account Executive,Mid-Level,20-10-24,LinkedIn,Offer Extended,No,,
CAND00199,REQ00031,Sales,Account Executive,Mid-Level,31-10-24,Job Board,Applied,No,,
CAND00200,REQ00031,Sales,Account Executive,Mid-Level,19-10-24,Referral,Applied,No,,
CAND00201,REQ00032,Marketing,Marketing Specialist,Mid-Level,06-10-23,Referral,Hired,Yes,EMP00032,33
CAND00202,REQ00032,Marketing,Marketing Specialist,Mid-Level,27-09-23,Referral,Onsite Interview,No,,
CAND00203,REQ00032,Marketing,Marketing Specialist,Mid-Level,09-10-23,Company Careers Site,Onsite Interview,No,,
CAND00204,REQ00032,Marketing,Marketing Specialist,Mid-Level,28-09-23,,Onsite Interview,No,,
CAND00205,REQ00032,Marketing,Marketing Specialist,Mid-Level,29-09-23,Referral,Applied,No,,
CAND00206,REQ00032,Marketing,Marketing Specialist,Mid-Level,09-10-23,Recruiting Agency,Offer Extended,No,,
CAND00207,REQ00032,Marketing,Marketing Specialist,Mid-Level,05-10-23,LinkedIn,Skills Assessment,No,,
CAND00208,REQ00032,Marketing,Marketing Specialist,Mid-Level,28-09-23,Job Board,Skills Assessment,No,,
CAND00209,REQ00033,Sales,Account Executive,Mid-Level,13-03-26,Job Board,Hired,Yes,EMP00033,26
CAND00210,REQ00033,Sales,Account Executive,Mid-Level,04-03-26,LinkedIn,Withdrew,No,,
CAND00211,REQ00033,Sales,Account Executive,Mid-Level,05-03-26,Job Board,Skills Assessment,No,,
CAND00212,REQ00033,Sales,Account Executive,Mid-Level,14-03-26,LinkedIn,Offer Extended,No,,
CAND00213,REQ00033,Sales,Account Executive,Mid-Level,11-03-26,Job Board,Phone Screen,No,,
CAND00214,REQ00033,Sales,Account Executive,Mid-Level,13-03-26,Job Board,Phone Screen,No,,
CAND00215,REQ00033,Sales,Account Executive,Mid-Level,05-03-26,Job Board,Phone Screen,No,,
CAND00216,REQ00033,Sales,Account Executive,Mid-Level,06-03-26,LinkedIn,Applied,No,,
CAND00217,REQ00034,People,HR Coordinator,Entry-Level,24-08-25,Referral,Hired,Yes,EMP00034,32
CAND00218,REQ00034,People,HR Coordinator,Entry-Level,19-08-25,Referral,Skills Assessment,No,,
CAND00219,REQ00034,People,HR Coordinator,Entry-Level,31-08-25,Referral,Onsite Interview,No,,
CAND00220,REQ00034,People,HR Coordinator,Entry-Level,20-08-25,,Skills Assessment,No,,
CAND00221,REQ00035,Customer Success,Support Associate,Entry-Level,18-09-24,Referral,Hired,Yes,EMP00035,21
CAND00222,REQ00035,Customer Success,Support Associate,Entry-Level,22-09-24,Company Careers Site,Onsite Interview,No,,
CAND00223,REQ00035,Customer Success,Support Associate,Entry-Level,15-09-24,LinkedIn,Phone Screen,No,,
CAND00224,REQ00035,Customer Success,Support Associate,Entry-Level,21-09-24,Job Board,Skills Assessment,No,,
CAND00225,REQ00035,Customer Success,Support Associate,Entry-Level,25-09-24,University Recruiting,Phone Screen,No,,
CAND00226,REQ00035,Customer Success,Support Associate,Entry-Level,16-09-24,Company Careers Site,Onsite Interview,No,,
CAND00227,REQ00036,Engineering,Staff Engineer,Staff,08-03-23,LinkedIn,Hired,Yes,EMP00036,25
CAND00228,REQ00036,Engineering,Staff Engineer,Staff,10-03-23,Referral,Applied,No,,
CAND00229,REQ00036,Engineering,Staff Engineer,Staff,27-02-23,Job Board,Applied,No,,
CAND00230,REQ00036,Engineering,Staff Engineer,Staff,06-03-23,LinkedIn,Onsite Interview,No,,
CAND00231,REQ00036,Engineering,Staff Engineer,Staff,12-03-23,Job Board,Phone Screen,No,,
CAND00232,REQ00036,Engineering,Staff Engineer,Staff,02-03-23,LinkedIn,Onsite Interview,No,,
CAND00233,REQ00037,Executive,Business Operations Director,Director,11-08-24,Company Careers Site,Hired,Yes,EMP00037,35
CAND00234,REQ00037,Executive,Business Operations Director,Director,09-08-24,Recruiting Agency,Skills Assessment,No,,
CAND00235,REQ00037,EXECUTIVE,Business Operations Director,Director,20-08-24,Company Careers Site,Applied,No,,
CAND00236,REQ00037,Executive,Business Operations Director,Director,14-08-24,LinkedIn,Onsite Interview,No,,
CAND00237,REQ00037,Executive,Business Operations Director,Director,09-08-24,Job Board,Offer Extended,No,,
CAND00238,REQ00038,Sales,Account Executive,Mid-Level,24-09-24,LinkedIn,Hired,Yes,EMP00038,24
CAND00239,REQ00038,Sales,Account Executive,Mid-Level,20-09-24,LinkedIn,Applied,No,,
CAND00240,REQ00038,Sales,Account Executive,Mid-Level,26-09-24,Referral,Phone Screen,No,,
CAND00241,REQ00038,Sales,Account Executive,Mid-Level,03-10-24,Referral,Withdrew,No,,
CAND00242,REQ00038,Sales,Account Executive,Mid-Level,21-09-24,LinkedIn,Hired,No,,
CAND00243,REQ00038,Sales,Account Executive,Mid-Level,02-10-24,Company Careers Site,Applied,No,,
CAND00244,REQ00038,Sales,Account Executive,Mid-Level,15-09-24,Company Careers Site,Withdrew,No,,
CAND00245,REQ00038,Sales,Account Executive,Mid-Level,23-09-24,Company Careers Site,Applied,No,,
CAND00246,REQ00038,Sales,Account Executive,Mid-Level,02-10-24,LinkedIn,Onsite Interview,No,,
CAND00247,REQ00039,Design,Senior Product Designer,Senior,24-10-25,Recruiting Agency,Hired,Yes,EMP00039,40
CAND00248,REQ00039,Design,Senior Product Designer,Senior,24-10-25,LinkedIn,Applied,No,,
CAND00249,REQ00039,Design,Senior Product Designer,Senior,14-10-25,LinkedIn,Skills Assessment,No,,
CAND00250,REQ00039,Design,Senior Product Designer,Senior,15-10-25,Referral,Skills Assessment,No,,
CAND00251,REQ00039,Design,Senior Product Designer,Senior,16-10-25,Company Careers Site,Withdrew,No,,
CAND00252,REQ00039,Design,Senior Product Designer,Senior,21-10-25,,Skills Assessment,No,,
CAND00253,REQ00039,Design,Senior Product Designer,Senior,14-10-25,Referral,Applied,No,,
CAND00254,REQ00039,DESIGN,Senior Product Designer,Senior,25-10-25,Referral,Applied,No,,
CAND00255,REQ00040,Customer Success,Senior CSM,Senior,15-08-25,Job Board,Hired,Yes,EMP00040,33
CAND00256,REQ00040,Customer Success,Senior CSM,Senior,09-08-25,Referral,Withdrew,No,,
