CompChangeID,EmployeeID,EffectiveDate,PreviousSalary,NewSalary,ChangeType,PercentChange
COMP00079,EMP00050,2026-02-10,123000.0,128000,Annual Merit Increase,3.9
COMP00080,EMP00051,2022-12-21,,101500,New Hire,
COMP00081,EMP00051,2023-12-21,101500.0,107000,Annual Merit Increase,5.5
COMP00082,EMP00051,2024-12-01,107000.0,111500,Annual Merit Increase,4.2
COMP00083,EMP00051,2026-02-02,111500.0,116500,Annual Merit Increase,4.4
COMP00084,EMP00052,2023-10-04,,186500,New Hire,
COMP00085,EMP00052,2024-10-03,186500.0,192000,Annual Merit Increase,3.0
COMP00086,EMP00052,2025-11-01,192000.0,200000,Annual Merit Increase,4.2
COMP00087,EMP00053,2022-12-12,,90500,New Hire,
COMP00088,EMP00054,2025-09-27,,84000,New Hire,
COMP00089,EMP00055,2024-10-08,,93500,New Hire,
COMP00090,EMP00055,2025-10-08,93500.0,99000,Annual Merit Increase,5.8
COMP00091,EMP00056,2025-05-02,,97500,New Hire,
COMP00092,EMP00057,2026-05-22,,118000,New Hire,
COMP00093,EMP00058,2024-07-13,,143000,New Hire,
COMP00094,EMP00059,2025-02-21,,128500,New Hire,
COMP00095,EMP00059,2026-02-21,128500.0,131500,Annual Merit Increase,2.3
COMP00096,EMP00060,2026-01-16,,159500,New Hire,
COMP00097,EMP00061,2024-06-28,,155500,New Hire,
COMP00098,EMP00061,2025-06-28,155500.0,158500,Annual Merit Increase,2.0
COMP00099,EMP00062,2023-06-02,,136500,New Hire,
COMP00100,EMP00062,2024-06-01,136500.0,143000,Annual Merit Increase,4.8
COMP00101,EMP00063,2024-09-11,,65000,New Hire,
COMP00102,EMP00064,2024-02-10,,169000,New Hire,
COMP00103,EMP00065,2026-06-15,,73500,New Hire,
COMP00104,EMP00066,2026-03-17,,75000,New Hire,
COMP00105,EMP00067,2025-09-08,,113500,New Hire,
COMP00106,EMP00068,2026-04-18,,83000,New Hire,
COMP00107,EMP00069,2026-02-23,,54000,New Hire,
COMP00108,EMP00070,2024-04-09,,68500,New Hire,
COMP00109,EMP00070,2025-04-09,68500.0,71000,Annual Merit Increase,4.0
COMP00110,EMP00070,2026-05-05,71000.0,73000,Annual Merit Increase,3.1
COMP00111,EMP00071,2026-05-25,,69500,New Hire,
COMP00112,EMP00072,2025-06-08,,198000,New Hire,
COMP00113,EMP00073,2026-02-27,,58500,New Hire,
COMP00114,EMP00074,2026-05-14,,67500,New Hire,
COMP00115,EMP00075,2024-10-28,,95000,New Hire,
COMP00116,EMP00076,2023-11-26,,93000,New Hire,
COMP00117,EMP00076,2024-11-25,93000.0,95500,Annual Merit Increase,2.4
COMP00118,EMP00077,2024-06-25,,204000,New Hire,
COMP00119,EMP00077,2025-06-25,204000.0,211500,Annual Merit Increase,3.8
COMP00120,EMP00077,2026-07-26,211500.0,222000,Annual Merit Increase,4.9
COMP00121,EMP00078,2025-02-18,,62000,New Hire,
COMP00122,EMP00079,2026-03-22,,91500,New Hire,
COMP00123,EMP00080,2026-04-20,,146000,New Hire,
COMP00124,EMP00081,2022-09-20,,192500,New Hire,
COMP00125,EMP00081,2023-09-20,192500.0,198500,Annual Merit Increase,3.1
COMP00126,EMP00082,2025-05-21,,134500,New Hire,
COMP00127,EMP00083,2025-02-12,,148500,New Hire,
COMP00128,EMP00083,2026-02-12,148500.0,152500,Annual Merit Increase,2.6
COMP00129,EMP00084,2024-05-19,,79500,New Hire,
COMP00130,EMP00084,2025-05-19,79500.0,81500,Annual Merit Increase,2.7
COMP00131,EMP00085,2023-12-14,,79500,New Hire,
COMP00132,EMP00085,2024-12-13,79500.0,82000,Annual Merit Increase,3.1
COMP00133,EMP00085,2025-12-11,82000.0,85000,Annual Merit Increase,3.8
COMP00134,EMP00086,2024-11-17,,99500,New Hire,
COMP00135,EMP00086,2025-11-17,99500.0,103500,Annual Merit Increase,3.9
COMP00136,EMP00087,2026-06-24,,155500,New Hire,
COMP00137,EMP00088,2024-10-21,,73000,New Hire,
COMP00138,EMP00088,2025-10-21,73000.0,75500,Annual Merit Increase,3.6
COMP00139,EMP00089,2025-06-03,,323000,New Hire,
COMP00140,EMP00089,2026-06-03,323000.0,342500,Annual Merit Increase,6.0
COMP00141,EMP00090,2025-11-26,,97000,New Hire,
COMP00142,EMP00091,2024-12-30,,81000,New Hire,
COMP00143,EMP00091,2025-12-30,81000.0,84000,Annual Merit Increase,3.7
COMP00144,EMP00092,2026-07-23,,82500,New Hire,
COMP00145,EMP00093,2026-07-07,,218000,New Hire,
COMP00146,EMP00094,2024-07-17,,85500,New Hire,
COMP00147,EMP00094,2025-07-17,85500.0,89000,Annual Merit Increase,4.1
COMP00148,EMP00095,2025-05-12,,175500,New Hire,
COMP00149,EMP00095,2026-05-12,175500.0,180000,Annual Merit Increase,2.6
COMP00150,EMP00096,2024-09-09,,160500,New Hire,
COMP00151,EMP00097,2024-08-15,,101500,New Hire,
COMP00152,EMP00097,2025-08-15,101500.0,106000,Annual Merit Increase,4.5
COMP00153,EMP00098,2023-01-18,,71000,New Hire,
COMP00154,EMP00098,2024-01-18,71000.0,74500,Annual Merit Increase,
COMP00155,EMP00098,2024-11-17,74500.0,85500,Promotion,14.6
COMP00156,EMP00098,2025-11-06,85500.0,89500,Annual Merit Increase,4.8
COMP00157,EMP00099,2025-08-21,,81500,New Hire,
COMP00158,EMP00100,2025-05-13,,82500,New Hire,
COMP00159,EMP00100,2026-05-13,82500.0,85500,Annual Merit Increase,3.9
COMP00160,EMP00101,2023-03-30,,442000,New Hire,
COMP00161,EMP00102,2024-08-21,,84500,New Hire,
COMP00162,EMP00103,2026-05-30,,78000,New Hire,
COMP00163,EMP00104,2024-06-08,,156000,New Hire,
COMP00164,EMP00104,2025-06-08,156000.0,164500,Annual Merit Increase,5.5
COMP00165,EMP00105,2024-01-14,,173500,New Hire,
COMP00166,EMP00105,2025-01-13,173500.0,182500,Annual Merit Increase,5.3
COMP00167,EMP00105,2026-01-27,182500.0,191500,Annual Merit Increase,5.0
COMP00168,EMP00106,2025-05-08,,161500,New Hire,
COMP00169,EMP00106,2026-05-08,161500.0,167500,Annual Merit Increase,3.6
COMP00170,EMP00107,2026-07-14,,143000,New Hire,
COMP00171,EMP00108,2024-06-07,,188500,New Hire,
COMP00172,EMP00108,2025-06-07,188500.0,193000,Annual Merit Increase,2.4
COMP00173,EMP00108,2026-05-13,193000.0,200500,Annual Merit Increase,3.8
COMP00174,EMP00109,2025-10-23,,97000,New Hire,
COMP00175,EMP00110,2026-01-12,,166500,New Hire,
COMP00176,EMP00111,2024-06-11,,60500,New Hire,
COMP00177,EMP00111,2025-06-11,60500.0,63500,Annual Merit Increase,4.8
COMP00178,EMP00111,2026-04-24,63500.0,66000,Annual Merit Increase,4.2
COMP00179,EMP00112,2025-12-22,,121500,New Hire,
COMP00180,EMP00113,2024-12-22,,123500,New Hire,
COMP00181,EMP00114,2025-09-11,,70500,New Hire,
COMP00182,EMP00115,2025-09-25,,148000,New Hire,
COMP00183,EMP00116,2025-06-22,,196000,New Hire,
COMP00184,EMP00117,2023-08-28,,94500,New Hire,
COMP00185,EMP00117,2024-08-27,94500.0,100000,Annual Merit Increase,5.6
COMP00186,EMP00117,2025-12-10,100000.0,103000,Annual Merit Increase,3.0
COMP00187,EMP00118,2026-03-29,,142000,New Hire,
COMP00188,EMP00119,2024-10-13,,74500,New Hire,
COMP00189,EMP00119,2025-10-13,74500.0,79000,Annual Merit Increase,5.9
COMP00190,EMP00120,2024-04-18,,146500,New Hire,
COMP00191,EMP00120,2025-04-18,146500.0,154500,Annual Merit Increase,5.6
COMP00192,EMP00120,2026-03-06,154500.0,162000,Annual Merit Increase,4.8
COMP00193,EMP00121,2023-02-02,,84500,New Hire,
COMP00194,EMP00122,2025-08-29,,108000,New Hire,
COMP00195,EMP00123,2025-10-21,,198000,New Hire,
COMP00196,EMP00124,2022-10-15,,153000,New Hire,
COMP00197,EMP00124,2023-10-15,153000.0,161000,Annual Merit Increase,5.3
COMP00198,EMP00124,2024-08-12,161000.0,167500,Annual Merit Increase,4.1
COMP00199,EMP00125,2025-05-20,,169000,New Hire,
COMP00200,EMP00125,2026-05-20,169000.0,177500,Annual Merit Increase,5.0
COMP00201,EMP00126,2024-06-27,,95500,New Hire,
COMP00202,EMP00127,2025-10-18,,162500,New Hire,
COMP00203,EMP00128,2024-03-15,,70000,New Hire,
COMP00204,EMP00128,2025-03-15,70000.0,72500,Annual Merit Increase,3.3
COMP00205,EMP00128,2026-06-17,72500.0,76000,Annual Merit Increase,5.0
COMP00206,EMP00129,2025-11-19,,159500,New Hire,
COMP00207,EMP00130,2025-01-23,,84000,New Hire,
COMP00208,EMP00130,2026-01-23,84000.0,88000,Annual Merit Increase,4.6
COMP00209,EMP00131,2026-06-24,,71500,New Hire,
COMP00210,EMP00132,2024-01-12,,150500,New Hire,
COMP00211,EMP00132,2025-01-11,150500.0,159000,Annual Merit Increase,5.6
COMP00212,EMP00133,2024-11-13,,124500,New Hire,
COMP00213,EMP00133,2025-11-13,124500.0,131500,Annual Merit Increase,5.4
COMP00214,EMP00134,2023-11-22,,99000,New Hire,
COMP00215,EMP00135,2026-06-11,,97000,New Hire,
COMP00216,EMP00136,2026-04-05,,77500,New Hire,
COMP00217,EMP00137,2024-07-29,,65000,New Hire,
COMP00218,EMP00137,2025-07-29,65000.0,69000,Annual Merit Increase,5.9
COMP00219,EMP00138,2025-10-01,,74500,New Hire,
COMP00220,EMP00139,2026-03-24,,103000,New Hire,
COMP00221,EMP00140,2025-07-03,,60000,New Hire,
COMP00222,EMP00140,2026-07-03,60000.0,62000,Annual Merit Increase,3.6
COMP00223,EMP00141,2025-06-22,,151500,New Hire,
COMP00224,EMP00142,2024-06-19,,104000,New Hire,
COMP00225,EMP00142,2025-06-19,104000.0,109500,Annual Merit Increase,5.1
COMP00226,EMP00142,2026-05-16,109500.0,113000,Annual Merit Increase,3.1
COMP00227,EMP00143,2023-08-23,,174000,New Hire,
COMP00228,EMP00143,2024-08-22,174000.0,180000,Annual Merit Increase,3.5
COMP00229,EMP00143,2025-08-16,180000.0,189500,Annual Merit Increase,5.2
COMP00230,EMP00144,2026-05-29,,183000,New Hire,
COMP00231,EMP00145,2026-05-30,,75500,New Hire,
COMP00232,EMP00146,2025-09-07,,144500,New Hire,
COMP00233,EMP00147,2024-11-12,,158500,New Hire,
COMP00234,EMP00148,2024-11-15,,252500,New Hire,
COMP00235,EMP00148,2025-11-15,252500.0,266000,Annual Merit Increase,5.4
COMP00236,EMP00149,2025-12-25,,143500,New Hire,
COMP00237,EMP00150,2026-05-05,,65500,New Hire,
COMP00238,EMP00151,2026-05-15,,171500,New Hire,
COMP00239,EMP00152,2026-02-08,,130000,New Hire,
COMP00240,EMP00153,2025-09-10,,123000,New Hire,
COMP00241,EMP00154,2023-07-26,,113500,New Hire,
COMP00242,EMP00155,2024-02-16,,151000,New Hire,
COMP00243,EMP00156,2026-05-08,,189500,New Hire,
COMP00244,EMP00157,2025-08-01,,61000,New Hire,
COMP00245,EMP00158,2022-09-12,,81000,New Hire,
COMP00246,EMP00158,2023-09-12,81000.0,83500,Annual Merit Increase,3.2
COMP00247,EMP00159,2023-10-05,,62500,New Hire,
COMP00248,EMP00159,2024-10-04,62500.0,66000,Annual Merit Increase,5.4
COMP00249,EMP00159,2026-01-11,66000.0,67500,Annual Merit Increase,2.3
COMP00250,EMP00160,2025-10-03,,128000,New Hire,
COMP00251,EMP00161,2022-09-01,,140000,New Hire,
COMP00252,EMP00161,2023-09-01,140000.0,143000,Annual Merit Increase,2.1
COMP00253,EMP00161,2024-07-28,143000.0,147000,Annual Merit Increase,2.7
COMP00254,EMP00162,2024-02-04,,142000,New Hire,
COMP00255,EMP00162,2025-02-03,142000.0,149000,Annual Merit Increase,4.9
COMP00256,EMP00162,2026-01-20,149000.0,153000,Annual Merit Increase,2.8
COMP00257,EMP00163,2025-06-08,,103000,New Hire,
COMP00258,EMP00163,2026-06-08,103000.0,108500,Annual Merit Increase,5.5
COMP00259,EMP00164,2025-11-03,,133500,New Hire,
COMP00260,EMP00165,2025-10-10,,84000,New Hire,
COMP00261,EMP00166,2024-06-02,,112500,New Hire,
COMP00262,EMP00166,2025-06-02,112500.0,116500,Annual Merit Increase,3.6
COMP00263,EMP00166,2026-03-30,116500.0,122000,Annual Merit Increase,4.5
COMP00264,EMP00167,2025-12-11,,214000,New Hire,
COMP00265,EMP00168,2024-06-25,,242500,New Hire,
COMP00266,EMP00168,2025-06-25,242500.0,255500,Annual Merit Increase,5.3
COMP00267,EMP00169,2024-10-10,,203000,New Hire,
COMP00268,EMP00169,2025-10-10,203000.0,214000,Annual Merit Increase,5.5
COMP00269,EMP00170,2026-01-21,,224000,New Hire,
COMP00270,EMP00171,2025-10-14,,91500,New Hire,
COMP00271,EMP00172,2026-04-07,,77000,New Hire,
COMP00272,EMP00173,2025-10-27,,124500,New Hire,
COMP00273,EMP00174,2025-07-27,,185500,New Hire,
COMP00274,EMP00174,2026-07-27,185500.0,196000,Annual Merit Increase,5.7
COMP00275,EMP00175,2023-09-02,,54500,New Hire,
COMP00276,EMP00175,2024-09-01,54500.0,57500,Annual Merit Increase,5.2
COMP00277,EMP00175,2025-09-03,57500.0,60000,Annual Merit Increase,4.7
COMP00278,EMP00175,2026-07-11,60000.0,63500,Annual Merit Increase,5.6
COMP00279,EMP00176,2024-12-09,,121000,New Hire,
COMP00280,EMP00176,2025-12-09,121000.0,124000,Annual Merit Increase,2.5
COMP00281,EMP00177,2024-08-16,,91500,New Hire,
COMP00282,EMP00177,2025-08-16,91500.0,95000,Annual Merit Increase,3.7
COMP00283,EMP00178,2024-07-13,,131000,New Hire,
COMP00284,EMP00178,2025-07-13,131000.0,137500,Annual Merit Increase,5.0
COMP00285,EMP00179,2026-07-09,,108500,New Hire,
COMP00286,EMP00180,2025-01-20,,294000,New Hire,
COMP00287,EMP00180,2026-01-20,294000.0,307500,Annual Merit Increase,4.5
COMP00288,EMP00181,2026-05-04,,79000,New Hire,
COMP00289,EMP00182,2025-09-22,,105500,New Hire,
COMP00290,EMP00183,2026-02-10,,147000,New Hire,
COMP00291,EMP00184,2025-05-26,,92500,New Hire,
COMP00292,EMP00185,2025-07-26,,150500,New Hire,
COMP00293,EMP00185,2026-07-26,150500.0,156500,Annual Merit Increase,4.0
COMP00294,EMP00186,2025-05-22,,158500,New Hire,
COMP00295,EMP00186,2026-05-22,158500.0,162000,Annual Merit Increase,2.2
COMP00296,EMP00187,2024-04-12,,146000,New Hire,
COMP00297,EMP00187,2025-04-12,146000.0,152000,Annual Merit Increase,4.2
COMP00298,EMP00187,2026-02-23,152000.0,160500,Annual Merit Increase,5.7
COMP00299,EMP00188,2025-12-17,,61500,New Hire,
COMP00300,EMP00189,2024-08-14,,319000,New Hire,
COMP00301,EMP00190,2022-11-14,,130000,New Hire,
COMP00302,EMP00190,2023-11-14,130000.0,133000,Annual Merit Increase,2.2
COMP00303,EMP00191,2025-10-25,,389000,New Hire,
COMP00304,EMP00192,2024-03-02,,226000,New Hire,
COMP00305,EMP00193,2026-06-21,,97500,New Hire,
COMP00306,EMP00194,2026-06-25,,58500,New Hire,
COMP00307,EMP00195,2026-05-20,,95000,New Hire,
COMP00308,EMP00196,2024-12-11,,113500,New Hire,
COMP00309,EMP00196,2025-12-11,113500.0,117000,Annual Merit Increase,3.2
COMP00310,EMP00197,2022-10-16,,59000,New Hire,
COMP00311,EMP00198,2026-06-19,,71000,New Hire,
COMP00312,EMP00199,2025-02-23,,88000,New Hire,
COMP00313,EMP00199,2026-02-23,88000.0,93000,Annual Merit Increase,5.5
COMP00314,EMP00200,2026-07-06,,60500,New Hire,
COMP00315,EMP00201,2026-07-24,,51500,New Hire,
COMP00316,EMP00202,2026-04-19,,125500,New Hire,
COMP00317,EMP00203,2024-09-05,,82500,New Hire,
COMP00318,EMP00203,2025-09-05,82500.0,85500,Annual Merit Increase,3.6
COMP00319,EMP00204,2025-01-26,,104000,New Hire,
COMP00320,EMP00204,2026-01-26,104000.0,107500,Annual Merit Increase,3.5
COMP00321,EMP00205,2026-04-04,,104500,New Hire,
COMP00322,EMP00206,2024-10-15,,130000,New Hire,
COMP00323,EMP00206,2025-10-15,130000.0,136000,Annual Merit Increase,4.8
COMP00324,EMP00207,2024-03-29,,145500,New Hire,
COMP00325,EMP00207,2025-03-29,145500.0,152500,Annual Merit Increase,4.8
COMP00326,EMP00207,2026-04-17,152500.0,159000,Annual Merit Increase,4.3
COMP00327,EMP00208,2025-07-04,,127000,New Hire,
COMP00328,EMP00209,2026-06-20,,94000,New Hire,
COMP00329,EMP00210,2025-11-10,,108000,New Hire,
COMP00330,EMP00211,2025-07-24,,163000,New Hire,
COMP00331,EMP00212,2023-09-22,,172000,New Hire,
COMP00332,EMP00212,2024-09-21,172000.0,177000,Annual Merit Increase,2.9
COMP00333,EMP00212,2025-08-20,177000.0,186000,Annual Merit Increase,5.0
COMP00334,EMP00212,2026-06-19,186000.0,190000,Annual Merit Increase,2.2
COMP00335,EMP00213,2025-08-03,,163500,New Hire,
COMP00336,EMP00214,2026-07-26,,157500,New Hire,
COMP00337,EMP00215,2024-01-05,,72500,New Hire,
COMP00338,EMP00216,2025-06-06,,104000,New Hire,
COMP00339,EMP00217,2026-04-21,,68000,New Hire,
COMP00340,EMP00218,2025-12-22,,261500,New Hire,
COMP00341,EMP00219,2025-11-08,,161000,New Hire,
COMP00342,EMP00220,2025-11-07,,149500,New Hire,
COMP00343,EMP00221,2024-12-21,,74000,New Hire,
COMP00344,EMP00221,2025-12-21,74000.0,76000,Annual Merit Increase,2.8
COMP00345,EMP00222,2024-09-10,,174500,New Hire,
COMP00346,EMP00222,2025-09-10,174500.0,184500,Annual Merit Increase,5.8
COMP00347,EMP00223,2026-03-06,,114500,New Hire,
COMP00348,EMP00224,2026-03-14,,71000,New Hire,
COMP00349,EMP00225,2026-04-04,,95500,New Hire,
COMP00350,EMP00226,2026-05-28,,137000,New Hire,
COMP00351,EMP00227,2025-05-25,,85000,New Hire,
COMP00352,EMP00228,2025-05-13,,127000,New Hire,
COMP00353,EMP00228,2026-05-13,127000.0,132500,Annual Merit Increase,4.4
COMP00354,EMP00229,2026-02-20,,76000,New Hire,
COMP00355,EMP00230,2025-10-17,,124500,New Hire,
COMP00356,EMP00231,2025-11-23,,86500,New Hire,
COMP00357,EMP00232,2026-02-07,,80000,New Hire,
COMP00358,EMP00233,2026-05-04,,131500,New Hire,
COMP00359,EMP00234,2024-11-29,,160500,New Hire,
COMP00360,EMP00235,2024-12-14,,144500,New Hire,
COMP00361,EMP00235,2025-12-14,144500.0,151000,Annual Merit Increase,4.5
COMP00362,EMP00236,2023-09-03,,144500,New Hire,
COMP00363,EMP00236,2024-09-02,144500.0,149000,Annual Merit Increase,3.3
COMP00364,EMP00236,2025-11-26,149000.0,155500,Annual Merit Increase,4.3
COMP00365,EMP00237,2025-07-24,,116500,New Hire,
COMP00366,EMP00238,2023-01-05,,81000,New Hire,
COMP00367,EMP00239,2025-04-16,,125000,New Hire,
COMP00368,EMP00239,2026-04-16,125000.0,131000,Annual Merit Increase,4.8
COMP00369,EMP00240,2025-06-26,,78500,New Hire,
COMP00370,EMP00240,2026-06-26,78500.0,80500,Annual Merit Increase,2.8
COMP00371,EMP00241,2024-09-23,,94000,New Hire,
COMP00372,EMP00241,2025-09-23,94000.0,98000,Annual Merit Increase,4.4
COMP00373,EMP00242,2025-08-20,,69000,New Hire,
COMP00374,EMP00243,2022-12-04,,153500,New Hire,
COMP00375,EMP00243,2023-12-04,153500.0,160500,Annual Merit Increase,4.7
COMP00376,EMP00243,2024-10-05,160500.0,165500,Annual Merit Increase,3.0
COMP00377,EMP00243,2025-11-24,165500.0,174000,Annual Merit Increase,5.2
COMP00378,EMP00244,2023-01-24,,163500,New Hire,
COMP00379,EMP00244,2024-01-24,163500.0,167000,Annual Merit Increase,2.2
COMP00380,EMP00245,2026-03-30,,95000,New Hire,
COMP00381,EMP00246,2024-12-24,,151500,New Hire,
COMP00382,EMP00247,2023-12-02,,164500,New Hire,
COMP00383,EMP00247,2024-12-01,164500.0,178000,Promotion,8.1
COMP00384,EMP00247,2025-10-25,178000.0,184500,Annual Merit Increase,3.6
COMP00385,EMP00248,2025-06-18,,79000,New Hire,
COMP00386,EMP00249,2026-01-19,,75500,New Hire,
COMP00387,EMP00250,2024-05-28,,141500,New Hire,
COMP00388,EMP00250,2025-05-28,141500.0,146000,Annual Merit Increase,3.0
COMP00389,EMP00251,2025-09-28,,77000,New Hire,
COMP00390,EMP00252,2023-07-19,,136000,New Hire,
COMP00391,EMP00253,2023-03-17,,83000,New Hire,
COMP00392,EMP00253,2024-03-16,83000.0,85500,Annual Merit Increase,2.8
COMP00393,EMP00253,2025-07-02,85500.0,90500,Annual Merit Increase,5.6
COMP00394,EMP00254,2025-06-14,,99500,New Hire,
COMP00395,EMP00254,2026-06-14,99500.0,105000,Annual Merit Increase,5.7
COMP00396,EMP00255,2025-06-19,,109500,New Hire,
COMP00397,EMP00255,2026-06-19,109500.0,114000,Annual Merit Increase,3.9
COMP00398,EMP00256,2025-09-22,,162500,New Hire,
COMP00399,EMP00257,2025-12-24,,155500,New Hire,
COMP00400,EMP00258,2026-07-13,,124000,New Hire,
COMP00401,EMP00259,2025-05-12,,146000,New Hire,
COMP00402,EMP00259,2026-05-12,146000.0,154500,Annual Merit Increase,5.9
COMP00403,EMP00260,2024-10-30,,110000,New Hire,
COMP00404,EMP00260,2025-10-30,110000.0,113500,Annual Merit Increase,3.3
COMP00405,EMP00261,2026-02-26,,68500,New Hire,
COMP00406,EMP00262,2024-08-06,,125000,New Hire,
COMP00407,EMP00263,2025-03-21,,82000,New Hire,
COMP00408,EMP00263,2026-03-21,82000.0,85000,Annual Merit Increase,3.7
COMP00409,EMP00264,2023-07-04,,183500,New Hire,
COMP00410,EMP00264,2024-07-03,183500.0,193500,Annual Merit Increase,5.3
COMP00411,EMP00264,2025-06-02,193500.0,198000,Annual Merit Increase,2.3
COMP00412,EMP00264,2026-05-30,198000.0,208500,Annual Merit Increase,5.4
COMP00413,EMP00265,2022-12-19,,114500,New Hire,
COMP00414,EMP00265,2023-12-19,114500.0,126000,Promotion,10.0
COMP00415,EMP00265,2024-12-05,126000.0,129000,Annual Merit Increase,2.3
COMP00416,EMP00265,2025-11-15,129000.0,132000,Annual Merit Increase,2.2
COMP00417,EMP00266,2026-07-16,,143000,New Hire,
