ReviewID,EmployeeID,ReviewPeriod,ReviewDate,PerformanceRating,GoalCompletionPct,PromotionRecommended
REV00080,EMP00051,2025-H1,2025-03-12,4.2,69.1,Yes
REV00081,EMP00051,2025-H2,2025-09-29,4.4,88.0,No
REV00082,EMP00051,2026-H1,2026-03-14,4.2,83.2,No
REV00083,EMP00052,2024-H1,2024-04-03,3.1,57.0,No
REV00084,EMP00052,2024-H2,2024-11-24,3.6,,No
REV00085,EMP00052,2025-H1,2025-06-26,3.4,66.0,No
REV00086,EMP00052,2026-H1,2026-01-03,3.7,65.0,No
REV00087,EMP00052,2026-H1,2026-06-28,3.3,53.9,No
REV00088,EMP00053,2023-H1,2023-06-12,3.9,52.6,No
REV00089,EMP00054,2026-H1,2026-03-28,3.5,63.7,No
REV00090,EMP00055,2025-H1,2025-04-08,4.8,88.5,Yes
REV00091,EMP00055,2025-H2,2025-10-23,4.6,86.6,No
REV00092,EMP00056,2025-H2,2025-10-31,5.0,83.7,Yes
REV00093,EMP00059,2025-H2,2025-08-22,2.5,30.5,No
REV00094,EMP00059,2026-H1,2026-02-22,1.9,30.0,No
REV00095,EMP00060,2026-H2,2026-07-17,3.9,68.3,No
REV00096,EMP00061,2024-H2,2024-12-27,1.2,41.2,No
REV00097,EMP00061,2025-H2,2025-07-03,1.3,30.0,No
REV00098,EMP00062,2023-H2,2023-12-01,3.2,71.5,No
REV00099,EMP00062,2024-H1,2024-06-30,3.5,59.7,No
REV00100,EMP00063,2025-H1,2025-03-12,3.5,47.7,No
REV00101,EMP00067,2026-H1,2026-03-09,3.7,65.2,No
REV00102,EMP00070,2024-H2,2024-10-08,3.4,77.5,No
REV00103,EMP00070,2025-H1,2025-03-28,3.2,52.0,No
REV00104,EMP00070,2025-H2,2025-09-23,3.3,63.0,No
REV00105,EMP00070,2026-H1,2026-05-10,3.5,,No
REV00106,EMP00076,2024-H1,2024-05-26,1.3,30.0,No
REV00107,EMP00076,2025-H1,2025-01-16,1.4,30.0,No
REV00108,EMP00076,2025-H2,2025-07-23,1.0,30.0,No
REV00109,EMP00077,2024-H2,2024-12-24,3.5,70.0,No
REV00110,EMP00077,2025-H2,2025-07-27,2.5,49.8,No
REV00111,EMP00077,2026-H1,2026-03-09,3.2,56.3,No
REV00112,EMP00078,2025-H2,2025-08-19,3.5,55.4,No
REV00113,EMP00081,2023-H1,2023-03-21,2.7,59.7,No
REV00114,EMP00081,2023-H2,2023-09-25,2.2,30.5,No
REV00115,EMP00083,2025-H2,2025-08-13,2.9,61.5,No
REV00116,EMP00083,2026-H1,2026-03-01,3.5,60.7,No
REV00117,EMP00084,2024-H2,2024-11-17,2.8,52.7,No
REV00118,EMP00084,2025-H1,2025-05-06,2.7,68.3,No
REV00119,EMP00084,2025-H2,2025-10-26,3.2,66.7,No
REV00120,EMP00085,2024-H1,2024-06-13,4.7,79.0,No
REV00121,EMP00085,2025-H1,2025-02-05,4.0,57.9,No
REV00122,EMP00085,2025-H2,2025-08-14,4.7,75.2,No
REV00123,EMP00085,2026-H1,2026-02-17,4.1,68.2,No
REV00124,EMP00086,2025-H1,2025-05-18,2.7,38.2,No
REV00125,EMP00086,2025-H2,2025-11-02,3.8,67.3,No
REV00126,EMP00086,2026-H1,2026-04-29,3.3,49.4,No
REV00127,EMP00088,2025-H1,2025-04-21,3.6,64.7,No
REV00128,EMP00088,2025-H2,2025-11-27,3.0,67.6,No
REV00129,EMP00088,2026-H1,2026-05-31,3.7,67.5,No
REV00130,EMP00089,2025-H2,2025-12-02,3.7,63.3,No
REV00131,EMP00089,2026-H1,2026-06-01,4.0,61.0,No
REV00132,EMP00090,2026-H1,2026-05-27,3.3,50.4,No
REV00133,EMP00091,2025-H1,2025-06-30,1.9,32.9,No
REV00134,EMP00091,2026-H1,2026-01-18,2.4,50.7,No
REV00135,EMP00094,2025-H1,2025-01-15,3.1,60.6,No
REV00136,EMP00094,2025-H2,2025-08-28,3.0,42.4,No
REV00137,EMP00094,2026-H1,2026-02-18,3.1,47.0,No
REV00138,EMP00095,2025-H2,2025-11-10,3.6,62.8,No
REV00139,EMP00095,2026-H1,2026-06-28,3.0,52.6,No
REV00140,EMP00097,2025-H1,2025-02-13,2.6,44.4,No
REV00141,EMP00097,2025-H2,2025-08-30,3.1,68.1,No
REV00142,EMP00097,2026-H1,2026-02-24,3.8,62.7,No
REV00143,EMP00098,2023-H2,2023-07-19,3.1,43.8,No
REV00144,EMP00098,2024-H1,2024-02-02,3.6,73.2,No
REV00145,EMP00098,2024-H2,2024-09-16,3.7,72.3,No
REV00146,EMP00098,2025-H1,2025-03-29,3.0,54.9,No
REV00147,EMP00098,2025-H2,2025-09-30,3.9,57.7,No
REV00148,EMP00098,2026-H1,2026-04-16,3.9,76.6,No
REV00149,EMP00100,2025-H2,2025-11-11,3.0,49.9,No
REV00150,EMP00100,2026-H1,2026-05-08,4.0,71.9,No
REV00151,EMP00104,2024-H2,2024-12-07,3.8,60.2,No
REV00152,EMP00104,2025-H1,2025-05-29,3.0,58.4,No
REV00153,EMP00104,2025-H2,2025-12-30,3.6,63.6,No
REV00154,EMP00105,2024-H2,2024-07-14,3.3,55.2,No
REV00155,EMP00105,2025-H1,2025-02-22,3.4,62.2,No
REV00156,EMP00105,2025-H2,2025-10-06,2.7,50.0,No
REV00157,EMP00105,2026-H1,2026-03-19,3.6,54.5,No
REV00158,EMP00106,2025-H2,2025-11-06,2.6,48.2,No
REV00159,EMP00106,2026-H1,2026-04-25,2.0,43.0,No
REV00160,EMP00108,2024-H2,2024-12-06,3.9,49.6,No
REV00161,EMP00108,2025-H2,2025-07-02,3.4,75.7,No
REV00162,EMP00108,2026-H1,2026-02-02,3.5,61.5,No
REV00163,EMP00108,2026-H2,2026-07-21,3.0,54.0,No
REV00164,EMP00109,2026-H1,2026-04-23,3.3,59.5,No
REV00165,EMP00111,2024-H2,2024-12-10,3.8,64.8,No
REV00166,EMP00111,2025-H1,2025-06-06,3.4,63.9,No
REV00167,EMP00111,2026-H1,2026-01-08,2.4,36.8,No
REV00168,EMP00112,2026-H1,2026-06-22,3.3,69.3,No
REV00169,EMP00114,2026-H1,2026-03-12,3.5,47.8,No
REV00170,EMP00115,2026-H1,2026-03-26,3.2,60.4,No
REV00171,EMP00116,2025-H2,2025-12-21,3.4,62.7,No
REV00172,EMP00117,2024-H1,2024-02-26,3.3,53.7,No
REV00173,EMP00117,2024-H2,2024-10-14,3.6,76.2,No
REV00174,EMP00117,2025-H1,2025-03-30,2.8,39.5,No
REV00175,EMP00117,2025-H2,2025-10-20,3.0,45.8,No
REV00176,EMP00117,2026-H1,2026-05-17,3.4,64.1,No
REV00177,EMP00119,2025-H1,2025-04-13,2.5,31.8,No
REV00178,EMP00119,2025-H2,2025-10-11,2.1,41.2,No
REV00179,EMP00119,2026-H1,2026-04-19,2.5,36.2,No
REV00180,EMP00120,2024-H2,2024-10-17,3.2,66.2,No
REV00181,EMP00120,2025-H1,2025-05-24,3.5,59.1,No
REV00182,EMP00120,2025-H2,2025-11-10,3.6,60.6,No
REV00183,EMP00120,2026-H1,2026-06-17,4.1,74.4,No
REV00184,EMP00122,2026-H1,2026-02-27,4.3,88.0,No
REV00185,EMP00123,2026-H1,2026-04-21,2.7,30.7,No
REV00186,EMP00124,2023-H1,2023-04-15,3.4,59.2,No
REV00187,EMP00124,2023-H2,2023-10-25,3.1,56.8,No
REV00188,EMP00124,2024-H1,2024-04-11,3.7,68.3,No
REV00189,EMP00124,2024-H2,2024-10-28,3.4,66.3,No
REV00190,EMP00124,2025-H1,2025-06-20,4.2,86.9,No
REV00191,EMP00125,2025-H2,2025-11-18,3.7,76.0,No
REV00192,EMP00125,2026-H1,2026-06-18,2.9,62.2,No
REV00193,EMP00127,2026-H1,2026-04-18,3.6,69.1,No
REV00194,EMP00128,2024-H2,2024-09-13,3.3,66.0,No
REV00195,EMP00128,2025-H1,2025-03-09,3.6,62.7,No
REV00196,EMP00128,2025-H2,2025-11-01,2.8,48.5,No
REV00197,EMP00128,2026-H1,2026-05-06,4.1,87.0,No
REV00198,EMP00130,2025-H2,2025-07-24,2.3,48.0,No
REV00199,EMP00130,2026-H1,2026-01-24,2.5,43.1,No
REV00200,EMP00132,2024-H2,2024-07-12,3.1,48.3,No
REV00201,EMP00132,2025-H1,2025-02-19,3.5,55.9,No
REV00202,EMP00132,2025-H2,2025-09-13,3.5,55.9,No
REV00203,EMP00133,2025-H1,2025-05-14,3.7,58.9,No
REV00204,EMP00133,2025-H2,2025-12-15,4.1,77.2,No
REV00205,EMP00133,2026-H2,2026-07-27,4.3,75.7,No
REV00206,EMP00137,2025-H1,2025-01-27,2.4,42.4,No
REV00207,EMP00137,2025-H2,2025-09-14,2.6,36.7,No
REV00208,EMP00138,2026-H1,2026-04-01,3.9,72.1,No
REV00209,EMP00140,2026-H1,2026-01-01,3.4,55.7,No
REV00210,EMP00142,2024-H2,2024-12-18,3.1,42.5,No
REV00211,EMP00142,2025-H1,2025-06-02,3.5,71.3,No
REV00212,EMP00142,2025-H2,2025-11-30,3.9,63.6,No
REV00213,EMP00142,2026-H1,2026-06-08,3.3,49.9,No
REV00214,EMP00143,2024-H1,2024-02-21,3.0,51.0,No
REV00215,EMP00143,2024-H2,2024-10-03,3.3,46.6,No
REV00216,EMP00143,2025-H1,2025-05-06,3.7,56.5,No
REV00217,EMP00143,2025-H2,2025-11-20,4.1,85.1,No
REV00218,EMP00143,2026-H2,2026-07-02,2.8,57.0,No
REV00219,EMP00148,2025-H1,2025-05-16,3.8,68.4,No
REV00220,EMP00148,2026-H1,2026-01-05,4.3,64.3,Yes
REV00221,EMP00148,2026-H2,2026-07-12,4.2,,No
REV00222,EMP00149,2026-H1,2026-06-25,4.3,69.3,No
REV00223,EMP00153,2026-H1,2026-03-11,3.0,,No
REV00224,EMP00157,2026-H1,2026-01-30,2.8,50.0,No
REV00225,EMP00158,2023-H1,2023-03-13,3.8,59.9,No
REV00226,EMP00158,2023-H2,2023-10-03,3.2,59.8,No
REV00227,EMP00158,2024-H1,2024-04-04,3.3,64.2,No
REV00228,EMP00159,2024-H1,2024-04-04,2.0,30.0,No
REV00229,EMP00159,2024-H2,2024-09-26,3.7,57.7,No
REV00230,EMP00159,2025-H1,2025-04-16,3.2,74.4,No
REV00231,EMP00159,2025-H2,2025-10-08,3.1,67.6,No
REV00232,EMP00159,2026-H1,2026-04-30,3.3,63.4,No
REV00233,EMP00160,2026-H1,2026-04-03,3.6,73.8,No
REV00234,EMP00161,2023-H1,2023-03-02,3.6,60.1,No
REV00235,EMP00161,2023-H2,2023-09-10,3.3,70.2,No
REV00236,EMP00161,2024-H1,2024-04-24,3.4,68.0,No
REV00237,EMP00162,2024-H2,2024-08-04,3.0,61.2,No
REV00238,EMP00162,2025-H1,2025-01-17,3.4,40.3,No
REV00239,EMP00162,2025-H2,2025-07-22,2.9,49.9,No
REV00240,EMP00162,2026-H1,2026-01-22,3.0,45.4,No
REV00241,EMP00163,2025-H2,2025-12-07,1.5,30.0,No
REV00242,EMP00164,2026-H1,2026-05-04,2.9,51.8,No
REV00243,EMP00165,2026-H1,2026-04-10,3.3,64.4,No
REV00244,EMP00166,2024-H2,2024-12-01,3.3,61.9,No
REV00245,EMP00166,2025-H2,2025-07-23,3.1,62.4,No
REV00246,EMP00166,2026-H1,2026-01-28,3.4,60.0,No
REV00247,EMP00167,2026-H1,2026-06-11,3.4,58.5,No
REV00248,EMP00168,2024-H2,2024-12-24,3.6,65.8,No
REV00249,EMP00168,2025-H2,2025-07-19,3.9,80.0,No
REV00250,EMP00168,2026-H1,2026-02-13,3.2,48.5,No
REV00251,EMP00169,2025-H1,2025-04-10,3.8,82.8,No
REV00252,EMP00169,2025-H2,2025-10-15,2.9,79.1,No
REV00253,EMP00169,2026-H1,2026-04-15,3.7,60.3,No
REV00254,EMP00170,2026-H2,2026-07-22,4.0,70.3,No
REV00255,EMP00171,2026-H1,2026-04-14,3.1,63.5,No
REV00256,EMP00173,2026-H1,2026-04-27,4.1,91.3,No
REV00257,EMP00174,2026-H1,2026-01-25,3.8,61.3,No
REV00258,EMP00175,2024-H1,2024-03-02,4.0,63.5,No
REV00259,EMP00175,2024-H2,2024-09-10,3.4,59.6,No
REV00260,EMP00175,2025-H1,2025-04-30,3.8,71.6,No
REV00261,EMP00175,2025-H2,2025-12-22,3.6,66.8,No
REV00262,EMP00175,2026-H2,2026-07-01,3.2,58.4,No
REV00263,EMP00176,2025-H1,2025-06-09,3.2,66.2,No
REV00264,EMP00176,2026-H1,2026-01-06,3.7,58.7,No
REV00265,EMP00176,2026-H2,2026-07-13,3.9,65.7,No
REV00266,EMP00177,2025-H1,2025-02-14,3.2,70.2,No
REV00267,EMP00177,2025-H2,2025-09-08,3.2,56.3,No
REV00268,EMP00177,2026-H1,2026-04-19,2.8,50.4,No
REV00269,EMP00178,2025-H1,2025-01-11,3.3,65.5,No
REV00270,EMP00178,2025-H2,2025-07-02,3.6,65.9,No
REV00271,EMP00180,2025-H2,2025-07-21,4.2,71.2,No
REV00272,EMP00180,2026-H1,2026-01-30,3.7,68.6,No
REV00273,EMP00180,2026-H2,2026-07-24,4.7,99.4,Yes
REV00274,EMP00182,2026-H1,2026-03-23,3.7,,No
REV00275,EMP00184,2025-H2,2025-11-24,1.6,35.0,No
REV00276,EMP00185,2026-H1,2026-01-24,3.0,57.2,No
REV00277,EMP00186,2025-H2,2025-11-20,2.9,48.2,No
REV00278,EMP00186,2026-H1,2026-06-09,3.9,68.2,No
REV00279,EMP00187,2024-H2,2024-10-11,3.2,59.1,No
REV00280,EMP00187,2025-H1,2025-04-09,2.1,48.5,No
REV00281,EMP00187,2025-H2,2025-12-01,2.6,54.1,No
REV00282,EMP00187,2026-H2,2026-07-19,2.9,43.9,No
REV00283,EMP00188,2026-H1,2026-06-17,3.4,65.2,No
REV00284,EMP00190,2023-H1,2023-05-15,2.5,54.2,No
REV00285,EMP00190,2023-H2,2023-12-21,1.9,30.5,No
REV00286,EMP00190,2024-H1,2024-06-29,2.3,47.2,No
REV00287,EMP00191,2026-H1,2026-04-25,3.1,60.8,No
REV00288,EMP00192,2024-H2,2024-08-31,2.3,31.1,No
REV00289,EMP00196,2025-H1,2025-06-11,4.1,87.2,No
REV00290,EMP00196,2026-H1,2026-01-08,4.6,82.0,No
REV00291,EMP00196,2026-H2,2026-07-06,4.5,97.3,No
REV00292,EMP00197,2023-H1,2023-04-16,1.6,30.0,No
REV00293,EMP00199,2025-H2,2025-08-24,3.1,54.4,No
REV00294,EMP00199,2026-H1,2026-02-27,3.1,43.7,No
REV00295,EMP00203,2025-H1,2025-03-06,3.8,78.8,No
REV00296,EMP00203,2025-H2,2025-10-05,4.3,80.2,No
REV00297,EMP00203,2026-H1,2026-05-14,3.4,70.7,No
REV00298,EMP00204,2025-H2,2025-07-27,2.8,48.2,No
REV00299,EMP00204,2026-H1,2026-02-11,3.6,42.8,No
REV00300,EMP00206,2025-H1,2025-04-15,1.7,34.3,No
REV00301,EMP00206,2025-H2,2025-11-19,2.1,52.7,No
REV00302,EMP00207,2024-H2,2024-09-27,2.7,66.7,No
REV00303,EMP00207,2025-H1,2025-04-26,2.9,58.8,No
REV00304,EMP00207,2025-H2,2025-11-13,3.1,55.0,No
REV00305,EMP00207,2026-H1,2026-06-26,3.0,53.1,No
REV00306,EMP00210,2026-H1,2026-05-11,3.5,56.4,No
REV00307,EMP00212,2024-H1,2024-03-22,3.5,48.6,No
REV00308,EMP00212,2024-H2,2024-10-31,3.5,63.6,No
REV00309,EMP00212,2025-H1,2025-06-14,3.2,63.4,No
REV00310,EMP00212,2026-H1,2026-01-04,3.0,50.7,No
REV00311,EMP00212,2026-H1,2026-06-29,3.1,54.8,No
REV00312,EMP00213,2026-H1,2026-02-01,3.3,60.4,No
REV00313,EMP00213,2026-H2,2026-07-27,3.6,69.6,No
REV00314,EMP00219,2026-H1,2026-05-09,2.9,46.2,No
REV00315,EMP00221,2025-H1,2025-06-21,3.4,56.2,No
REV00316,EMP00221,2026-H1,2026-02-01,3.0,67.6,No
REV00317,EMP00222,2025-H1,2025-03-11,1.5,30.0,No
REV00318,EMP00222,2025-H2,2025-10-10,2.1,35.9,No
REV00319,EMP00222,2026-H1,2026-04-15,1.7,31.4,No
REV00320,EMP00227,2025-H2,2025-11-23,3.9,65.2,No
REV00321,EMP00228,2025-H2,2025-11-11,2.9,48.6,No
REV00322,EMP00228,2026-H1,2026-06-17,3.5,56.6,No
REV00323,EMP00230,2026-H1,2026-04-17,2.0,42.8,No
REV00324,EMP00231,2026-H1,2026-05-24,3.1,50.4,No
REV00325,EMP00234,2025-H1,2025-05-30,3.3,56.5,No
REV00326,EMP00235,2025-H1,2025-06-14,3.2,59.3,No
REV00327,EMP00235,2026-H1,2026-01-20,2.9,58.8,No
REV00328,EMP00235,2026-H2,2026-07-09,3.1,61.2,No
REV00329,EMP00236,2024-H1,2024-03-03,2.8,37.3,No
REV00330,EMP00236,2024-H2,2024-09-07,3.2,65.3,No
REV00331,EMP00236,2025-H1,2025-04-30,3.7,70.1,No
REV00332,EMP00236,2025-H2,2025-11-17,3.5,62.9,No
REV00333,EMP00239,2025-H2,2025-10-15,3.8,54.4,No
REV00334,EMP00239,2026-H1,2026-05-18,3.2,72.4,No
REV00335,EMP00240,2025-H2,2025-12-25,2.5,43.9,No
REV00336,EMP00240,2026-H2,2026-07-26,3.1,46.9,No
REV00337,EMP00241,2025-H1,2025-03-24,3.4,54.5,No
REV00338,EMP00241,2025-H2,2025-09-11,3.4,,No
REV00339,EMP00241,2026-H1,2026-03-27,3.7,67.8,No
REV00340,EMP00242,2026-H1,2026-02-18,4.4,86.3,No
REV00341,EMP00243,2023-H1,2023-06-04,3.4,74.1,No
REV00342,EMP00243,2023-H2,2023-11-23,3.1,49.1,No
REV00343,EMP00243,2024-H1,2024-05-11,3.6,54.9,No
REV00344,EMP00243,2024-H2,2024-10-23,3.8,73.5,No
REV00345,EMP00243,2025-H1,2025-04-18,4.2,76.3,No
REV00346,EMP00243,2025-H2,2025-11-01,2.9,35.1,No
REV00347,EMP00243,2026-H1,2026-06-11,2.8,57.0,No
REV00348,EMP00244,2023-H2,2023-07-25,3.2,54.4,No
REV00349,EMP00244,2024-H1,2024-01-18,3.3,58.4,No
REV00350,EMP00244,2024-H2,2024-08-23,3.4,65.8,No
REV00351,EMP00246,2025-H1,2025-06-24,1.4,30.0,No
REV00352,EMP00247,2024-H1,2024-06-01,4.8,79.1,Yes
REV00353,EMP00247,2024-H2,2024-12-20,4.8,86.9,No
REV00354,EMP00247,2025-H2,2025-07-21,4.7,76.3,Yes
REV00355,EMP00247,2026-H1,2026-03-13,4.2,85.6,No
REV00356,EMP00249,2026-H2,2026-07-20,3.0,52.9,No
REV00357,EMP00250,2024-H2,2024-11-26,3.6,63.2,No
REV00358,EMP00250,2025-H1,2025-06-01,3.5,69.9,No
REV00359,EMP00250,2026-H1,2026-01-14,3.2,42.4,No
REV00360,EMP00251,2026-H1,2026-03-29,2.8,60.8,No
REV00361,EMP00252,2024-H1,2024-01-17,3.8,70.8,No
REV00362,EMP00253,2023-H2,2023-09-15,2.1,43.3,No
REV00363,EMP00253,2024-H1,2024-03-21,2.0,30.4,No
REV00364,EMP00253,2024-H2,2024-10-13,2.4,45.9,No
REV00365,EMP00253,2025-H1,2025-06-04,1.6,30.0,No
REV00366,EMP00254,2025-H2,2025-12-13,4.4,68.5,Yes
REV00367,EMP00254,2026-H1,2026-06-01,4.9,94.5,No
REV00368,EMP00255,2025-H2,2025-12-18,3.1,50.9,No
REV00369,EMP00255,2026-H1,2026-06-30,3.4,64.2,No
REV00370,EMP00256,2026-H1,2026-03-23,3.4,57.6,No
REV00371,EMP00257,2026-H1,2026-06-24,3.8,75.9,No
REV00372,EMP00259,2025-H2,2025-11-10,3.7,63.5,No
REV00373,EMP00259,2026-H1,2026-04-29,3.6,52.2,No
REV00374,EMP00260,2025-H1,2025-04-30,4.0,74.5,No
REV00375,EMP00260,2025-H2,2025-10-13,4.1,81.4,No
REV00376,EMP00260,2026-H1,2026-04-07,4.4,81.0,No
REV00377,EMP00263,2025-H2,2025-09-19,4.8,87.0,No
REV00378,EMP00263,2026-H1,2026-05-02,4.6,92.0,Yes
REV00379,EMP00264,2024-H1,2024-01-02,2.0,41.2,No
REV00380,EMP00264,2024-H2,2024-08-26,3.1,55.7,No
REV00381,EMP00264,2025-H1,2025-03-24,3.5,66.2,No
REV00382,EMP00264,2025-H2,2025-10-21,3.1,52.1,No
REV00383,EMP00264,2026-H1,2026-05-31,2.9,42.4,No
REV00384,EMP00265,2023-H1,2023-06-19,3.0,,No
REV00385,EMP00265,2024-H1,2024-01-12,3.4,52.5,No
REV00386,EMP00265,2024-H2,2024-08-21,3.7,56.2,No
REV00387,EMP00265,2025-H1,2025-02-24,3.1,56.4,No
REV00388,EMP00265,2025-H2,2025-09-27,3.3,76.4,No
REV00389,EMP00265,2026-H1,2026-05-18,3.4,69.3,No
REV00390,EMP00268,2026-H1,2026-05-05,3.3,63.8,No
REV00391,EMP00269,2025-H2,2025-08-24,3.3,,No
REV00392,EMP00269,2026-H1,2026-02-16,2.4,30.0,No
REV00393,EMP00270,2024-H2,2024-09-15,4.5,80.6,Yes
REV00394,EMP00270,2025-H1,2025-05-01,4.4,72.2,No
REV00395,EMP00270,2025-H2,2025-12-08,3.7,,No
REV00396,EMP00270,2026-H1,2026-06-17,4.1,60.4,No
REV00397,EMP00271,2024-H2,2024-08-23,3.7,70.0,No
REV00398,EMP00271,2025-H1,2025-04-11,3.0,52.5,No
REV00399,EMP00271,2025-H2,2025-11-20,4.4,68.2,No
REV00400,EMP00271,2026-H1,2026-06-21,3.0,58.5,No
REV00401,EMP00272,2024-H2,2024-12-30,3.2,47.2,No
REV00402,EMP00272,2025-H2,2025-07-13,3.5,,No
REV00403,EMP00272,2026-H1,2026-02-24,4.0,85.6,No
REV00404,EMP00273,2025-H2,2025-12-17,3.1,55.1,No
REV00405,EMP00273,2026-H2,2026-07-24,3.2,44.8,No
REV00406,EMP00274,2026-H1,2026-06-20,2.3,33.7,No
REV00407,EMP00275,2026-H1,2026-04-17,1.6,30.0,No
REV00408,EMP00278,2026-H1,2026-06-27,4.7,71.3,Yes
